관리번호(OBJECTID),국립공원관리번호(ID_CD),공원사무소코드(PO_CD),분류코드(CLASS_CD),일련번호(SEQNO),명칭_한글(KOR_NM),명칭_영어(ENG_NM),주소_지번(LNM_ADRES),주소_새주소(RDNMADR),전화번호(TELNO),야영동수(CMP_NUM),야영료징수여부(CMP_CHR),사용여부(USE_YN),고도(ELEVATION),경도(LONGITUDE),위도(LATITUDE),심볼코드(SYMBOL_CD)
1,20103020001,201,302,1,동학사야영장,Donghaksa Camping Site,충청남도 공주시 반포면 학봉리 산19-41 일원,충청남도 공주시 반표면 동학사2로 132,042-825-3005,20,1,1,167,127.2423043,36.35763091,G
2,40103020001,401,302,1,설악동야영장,Seorakdong Camping Site,강원도 속초시 설악동 370,강원도 속초시 청봉로 25 (설악동),033-636-1262,400,1,1,87,128.5442371,38.1640847,G
3,100000000000,1001,302,1,상의야영장,Sangui Camping Site,경북 청송군 부동면 상의리 361,,054-873-0018,100,1,1,287.9400024,129.1420729,36.3930067,G
4,160000000000,1602,302,1,남천야영장,Namcheon Camping Site,"충청북도 단양군 영춘면 남천리 산60-1, 28",충청북도 단양군 영춘면 남천계곡로 378,043-421-0721,130,1,1,217,128.5113332,37.0432116,G
5,160000000000,1601,302,1,삼가야영장,Samga Camping Site,"경상북도 영주시 풍기읍 삼가리 320-1,300",,054-637-3794,70,1,1,330,128.4202582,36.9638701,G
6,200000000000,2001,302,1,관음사 야영장,Gwaneumsa Campsite,제주 제주시 오등동 산 180-3,제주 제주시 산록북로 588,,192,1,1,546.2000122,126.5507101,33.4216407,G
7,10203020001,102,302,1,뱀사골1야영장,Banseon Camping Site 1,전라북도 남원시 산내면 부운리 산431-2 일원,전라북도 남원시 산내면 와운길 10-0,063-625-8911,120,,1,475,127.5769936,35.371414,G
8,10203030001,102,303,1,덕동자동차야영장,Deokdong Auto Camping Site,전라북도 남원시 덕동리 74 일원,전라북도 남원시 산내면 지리산로 593-0,063-625-8911,70,,1,502,127.568339,35.3657082,G
9,10203030002,102,303,2,달궁자동차야영장,Dalgung Auto Camping Site,전라북도 남원시 산내면 덕동리 281 일원,전라북도 남원시 산내면 지리산로 593 일원,063-625-8911,400,,1,555,127.5580095,35.3542173,G
10,10103020002,101,302,2,달궁야영장,Dalgung Camping Site,전라북도 남원시 산내면 덕동리 281 일원,전라북도 남원시 산내면 지리산로 593 일원,000-0000-0000,0,,1,699,127.5554388,35.3523445,G
11,10303030003,103,303,1,황전자동차야영장,Hwangjeon Auto Camping Site,전라남도 구례군 마산면 황전리 41,전라남도 구례군 마산면 화엄사로 402-31,000-0000-0000,0,,1,125,127.4900686,35.2426219,G
12,10303020001,103,302,1,황전야영장,Hwangjeon Camping Site,전라남도 구례군 마산면 황전리 44-1 일원,전라남도 구례군 마산면 화엄사로 402-14,061-780-7700,70,,1,135,127.4903805,35.2435927,G
13,10203020002,102,302,2,뱀사골2야영장,Banseon Camping Site 2,전라북도 남원시 산내면 부운리 256 일원,전라북도 남원시 산내면 와운길 29 일원,063-625-8911,70,,1,476,127.5796378,35.3699618,G
14,10103020005,101,302,5,불일폭포야영장,Buril Falls Camping Site,경상남도 하동군 화개면 운수리 산47-1,경상남도 하동군 화개면 목압길 103,000-0000-0000,50,,1,512,127.660133,35.2385254,G
