∞¸∏Æπ¯»£(OBJECTID),±π∏≥∞¯ø¯∞¸∏Æπ¯»£(ID_CD),∞¯ø¯ªÁπ´º“ƒ⁄µÂ(PO_CD),∫–∑˘ƒ⁄µÂ(CLASS_CD),¿œ∑√π¯»£(SEQNO),∏Ìƒ™_«—±€(KOR_NM),∏Ìƒ™_øµæÓ(ENG_NM),¡∂∏¡±Ê¿Ã(VIEW_LENG),¡∂∏¡πÊ¿ß∞¢(VIEW_AZ),∞Ìµµ(ELEVATION),∞Êµµ(LONGITUDE),¿ßµµ(LATITUDE),Ω…∫ºƒ⁄µÂ(SYMBOL_CD),∞Ê∞¸¿⁄ø¯Ωƒ∫∞ƒ⁄µÂ(SCENE_ID)
1,20106900001,201,690,1,¿Â±∫∫¿ ¡∂∏¡¡°,Janggunbong Peak Viewpoint,4745,62,743,127.2005634,36.35206979,X,20106010003
2,20106900002,201,690,2,Ω“∞≥∫¿ ¡∂∏¡¡°,Saalgaebong Peak Viewpoint,1438,84,666,127.1937423,36.35061188,X,20106010005
3,20106900003,201,690,3,∫Û∞ËªÍ ¡∂∏¡¡°,Bingyesan Viewpoint,1982,110,418,127.2852052,36.33075539,X,20106010007
4,20106900004,201,690,4,∞´πŸ¿ß ¡∂∏¡¡°,Gat Rock Viewpoint,323,91,529,127.2293935,36.36867129,X,20106020001
5,40106900001,401,690,1,±Õ∂º±‚√ª∫¿ ¡∂∏¡¡°,Gwittaegicheongbong Peak Viewpoint,1781,133,1448,128.3956072,38.1233009,X,40106010001
6,40106900002,401,690,2,∞°∏Æ∫¿ π◊ ¡÷∞∆∫¿ ¡∂∏¡¡°,Garibong Peak and Jugeokbong Peak Viewpoint,4481,214,1391,128.3720925,38.1266698,X,40106010011
7,100107000000,1001,690,1,¡÷ªÍ¡ˆ ¡∂∏¡¡°,Jusanji Viewpoint,157,251,400.3500061,129.1910111,36.3632217,X,100106000000
8,100107000000,1001,690,2,øﬂø‹∞Ë∞Ó ¡∂∏¡¡°,Woloe Valley Viewpoint,280,291,339.2099915,129.1301542,36.44199,X,100106000000
9,100107000000,1001,690,3,ø˘ø‹∆¯∆˜ ¡∂∏¡¡°,Woloe Falls Viewpoint,32,147,388.4899902,129.135728,36.441364,X,100106000000
10,100107000000,1001,690,4,øÎø¨∆¯∆˜(3∆¯∆˜) ¡∂∏¡¡°,Third Falls Viewpoint,61,283,380.1400146,129.1703109,36.4070819,X,100106000000
11,100107000000,1001,690,5,øÎ√ﬂ∆¯∆˜(1∆¯∆˜) ¡∂∏¡¡°,The first Waterfall Viewpoint,112,183,358.8299866,129.1653393,36.4009278,X,100106000000
12,100107000000,1001,690,6,«–º“¥Î ¡∂∏¡¡°,Haksodae Viewpoint,50,255,367.3299866,129.1627134,36.3994472,X,100106000000
13,100107000000,1001,690,7,Ω≈º±¥Î ¡∂∏¡¡°,Shinsundae Viewpoint,51,153,328.5499878,129.162856,36.3996008,X,100106000000
14,100107000000,1001,690,8,±ﬁºˆ¥Î ¡∂∏¡¡°,Geupsudae Viewpoint,112,101,318.6600037,129.1588303,36.398275,X,100106000000
15,100107000000,1001,690,9,æ∆µÈπŸ¿ß ¡∂∏¡¡°,Son Rock Viewpoint,22,145,294.6600037,129.1489635,36.3977406,X,100106000000
16,100107000000,1001,690,10,¡÷ø’∞Ë∞Ó ¡∂∏¡¡°,Juwang Valley Viewpoint,157,25,288.8200073,129.1451521,36.3963978,X,100106000000
17,100107000000,1001,690,12,¿˝∞Ò∞‘∞Ó ¡∂∏¡¡°,Jeol Valley Viewpoint,295,50,362.5599976,129.1839626,36.370485,X,100106000000
18,100107000000,1001,690,13,≥ª±‚ªÁ ¡∂∏¡¡°,Naegisa Viewpoint,224,50,416.9100037,129.1810947,36.4401891,X,100106000000
19,100107000000,1001,690,14,ø’∞≈æœ ¡∂∏¡¡°,Wanggeoam Rock Viewpoint,19,318,940.6099854,129.2078329,36.4078388,X,100106000000
20,100107000000,1001,690,15,ªÛ≈¡ ¡∂∏¡¡°,Sangtang Viewpoint,28,250,255.7799988,129.0905042,36.4397782,X,100106000000
21,100107000000,1001,690,16,Ω≈≈¡ ¡∂∏¡¡°,Sintang Viewpoint,8,221,256.1199951,129.0858299,36.4387316,X,100106000000
22,100107000000,1001,690,17,¡ﬂ≈¡ ¡∂∏¡¡°,Jungtang Viewpoint,8,159,251.9199982,129.0871935,36.4398692,X,100106000000
23,100107000000,1001,690,18,√µ≈¡ ¡∂∏¡¡°,Cheontang Viewpoint,32,320,254.8600006,129.0878634,36.4402115,X,100106000000
24,100107000000,1001,690,19,«œ≈¡ ¡∂∏¡¡°,Hatang Viewpoint,3,208,305.7600098,129.083676,36.4385769,X,100106000000
25,100107000000,1001,690,20,±‚æœ ¡∂∏¡¡°,Rocks Viewpoint,362,37,290.5499878,129.1457937,36.3970118,X,100106000000
26,100107000000,1001,690,21,ø¨»≠∫¿ ¡∂∏¡¡°,Yeonhwabong Peak Viewpoint,271,309,363.4299927,129.158315,36.3973146,X,100106000000
27,100107000000,1001,690,22,∏¡ø˘¥Î ¡∂∏¡¡°,Mangwoldae Viewpoint,23,132,353.3500061,129.1584797,36.3972796,X,100106000000
28,100107000000,1001,690,23,∫¥«≥πŸ¿ß ¡∂∏¡¡°,Byeongpung Rock Viewpoint,280,16,363.4299927,129.158315,36.3973146,X,100106000000
29,100107000000,1001,690,24,±›¿∫±§¿Ã ¡∂∏¡¡°,Geumeungwangyi Viewpoint,10,350,842.5599976,129.1622253,36.4190002,X,100106000000
30,100107000000,1001,690,25,¥Îµ–ªÍ ¡∂∏¡¡°,Daedunsan Viewpoint,169,250,919.960022,129.1609165,36.454192,X,100106000000
31,160107000000,1601,690,1,∫Ò∑Œ∫¿_¡◊∏¡∫¿_ø¨»≠∫¿ ¡∂∏¡¡°,Birobong_Gungmangbong_Yoenhwabong Peak Viewpoint,1969,54,1371,128.4606222,36.9341153,X,160106000000
32,160107000000,1601,690,2,¡¶2 ø¨»≠∫¿ ¡∂∏¡¡°,2nd Yeonhwabong Peak Viewpoint,1913,243,1372,128.4607454,36.934203,X,160106000000
